Date,Risk-On_Probability,Late-Cycle_Probability,Transitional_Probability,Risk-Off_Probability,Post-Shock_Probability,Dominant_Regime,Confidence,Entropy,Uncertainty,Conformal_90_Set,CalibratedProxy_Risk-On_Probability,CalibratedProxy_Late-Cycle_Probability,CalibratedProxy_Transitional_Probability,CalibratedProxy_Risk-Off_Probability,CalibratedProxy_Post-Shock_Probability,CalibratedProxy_Dominant_Regime,CalibratedProxy_Confidence,CalibratedProxy_Entropy,CalibratedProxy_90_Set
2020-06-26,1.7735109816174683e-105,1.7334399260074347e-107,2.4891142957465833e-214,1.0,8.913310196502137e-217,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-29,4.711783988216184e-101,9.218703421774056e-105,1.0914391481597193e-208,1.0,1.362411432349766e-211,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-30,1.9857379665614885e-96,3.8317394364869e-96,1.4619646815854237e-196,1.0,2.0879444769496402e-199,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-01,8.485457715429889e-95,2.208182555858525e-92,8.436224851856385e-191,1.0,3.0624765508959803e-192,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-02,0.0,1.4145380678683946e-136,0.0,1.0,2.349006158457549e-277,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-03,1.619244185790694e-106,9.491202101684403e-85,6.258134146341885e-179,1.0,7.967204087886628e-177,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-06,7.75008714909879e-103,8.892250774187671e-92,2.2527273338002197e-192,1.0,4.4495238085006265e-192,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-07,2.1090062166618844e-99,6.049124935563553e-93,1.1631921373651795e-194,1.0,3.3044539791086133e-195,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-08,5.864896426104712e-107,1.251055784953145e-91,3.169333246543236e-193,1.0,3.4399246178574924e-192,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-09,5.15640062027306e-102,1.835938299225374e-84,2.2579135527148727e-180,1.0,2.6724896496882882e-179,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
